idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
460;2;PTO BS AS;EL TIO;PTO BS AS;655;1310;10;12;1;38000;01/06/2020 00:00;1;2;61;215
461;2;PTO BS AS;PUEBLO ESTHER;PTO BS AS;250;500;5;6;1;25000;04/07/2020 00:00;1;2;62;216
462;2;PTO BS AS;INGENIERO LUIGUI;PTO BS AS;650;1300;10;12;1;40000;24/08/2020 00:00;1;2;63;217
463;2;PTO BS AS;BARRANQUERAS;PTO BS AS;930;1860;14;15;1;70000;08/06/2020 00:00;1;3;64;218
464;2;PTO BS AS;9 DE JULIO;PTO BS AS;280;560;5;6;1;24000;09/06/2020 00:00;1;2;65;219
465;2;PTO BS AS;LUJAN DE CUYO;PTO BS AS;1100;2200;12;14;1;75000;03/07/2020 00:00;1;2;66;220
466;2;PTO BS AS;CRESPO;PTO BS AS;440;880;6;7;1;32000;04/07/2020 00:00;1;2;67;221
467;2;PTO BS AS;MENDOZA(SAN MARTIN);PTO BS AS;1066;2140;10;12;1;80000;13/07/2020 00:00;1;2;68;222
468;2;PTO BS AS;RECREO;PTO BS AS;500;1000;7;8;1;34000;21/07/2020 00:00;1;2;69;223
469;2;PTO BS AS;CAPILLA DEL SEÑOR/CAMPANA;PTO BS AS;110;220;3;4;1;15000;24/07/2020 00:00;1;2;70;224
470;2;PTO BS AS;RIO SEGUNDO;PTO BS AS;645;1290;9;10;1;42000;10/08/2020 00:00;1;2;71;225
471;2;PTO BS AS;EL TREBOL ;PTO BS AS;460;920;7;8;1;42000;11/08/2020 00:00;1;2;72;226
472;2;PTO BS AS;EL TREBOL-SANTA FE;PTO BS AS;460;920;7;8;1;42000;11/08/2020 00:00;1;2;73;227
473;2;PTO BS AS;MORTEROS;PTO BS AS;640;1280;9;11;1;43000;21/08/2020 00:00;1;2;74;228
474;2;PTO BS AS;ARROYO CABRAL;PTO BS AS;580;1160;9;10;1;40000;31/08/2020 00:00;1;2;75;229
475;2;PTO BS AS;DOCK SUD;PTO BS AS;10;20;1;2;1;3500;14/09/2020 00:00;1;2;76;230
